Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,CL31A476MPHNNNE,
C12,0805,1,0.1uF,
C13,0805,1,CL21B102KBCNNNC,
"C16, C42, C48, C51, C52, C55",0805,6,CL21B103KBANNNC,
"C17, C18, C19",0805,3,GRM21B5C2E103FWAA,
C49,1206,1,C3216X5R1E476MTJ00E,
C50,0805,1,CL21A225KBQNNNE,
C53,0805,1,ECH-U1H102GX5,
C54,0805,1,CL21A106KAYNNNE,
"D1, D3, D4",D_SOD-123,3,1N4148W,
D2,LED_D5.0mm_FlatTop,1,LED,
IC3,SOIC-14_3.9x8.7mm_P1.27mm,1,PIC16F15325-I/SL,
"IC4, IC6",SOT95P282X145-5N,2,AS321KTR-G1,
IC5,SOP-16_3.9x9.9mm_P1.27mm,1,V3340M,
IC7,SOIC-14_3.9x8.7mm_P1.27mm,1,"HEF4013BT,653",
J1,PinSocket_1x05_P2.54mm_Vertical,1,DigiInput,
J2,PinHeader_1x05_P2.54mm_Vertical,1,ICSP LFO,
J3,PinSocket_1x02_P2.54mm_Vertical,1,D_Power,
J4,PinSocket_2x07_P2.54mm_Vertical,1,VCOOut,
J6,PinHeader_1x06_P2.54mm_Vertical,1,A_Power,
J7,PinSocket_2x03_P2.54mm_Vertical,1,LFO,
"Q1, Q3",SOT95P240X115-3N,2,SS8050(RANGE:200-350),
"R10, R100, R103, R105, R126, R16, R214, R22",0805,8,0805W8F1002T5E,
"R101, R55",0805,2,0805W8F5102T5E,
"R102, R115, R1190, R1250, R258",0805,5,0805W8F4703T5E,
"R104, R117",0805,2,0805W8F2203T5E,
R11,0805,1,0805W8F1201T5E,
"R112, R114, R116, R12, R191, R4, R9",0805,7,0805W8F1003T5E,
"R113, R127",0805,2,0805W8F5600T5E,
R118,0805,1,0805W8F1501T5E,
"R119, R125, R17",0805,3,0805W8F1004T5E,
R120,0805,1,0805W8F2702T5E,
R121,0805,1,0805W8F5601T5E,
R13,0805,1,0805W8F2201T5E,
"R186, R187",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,470K,
R188,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,1M,
"R19, R20, R21",0805,3,0805W8F4702T5E,
"R193, R259",0805,2,0805W8F3302T5E,
"R23, R98",0805,2,0805W8F1001T5E,
R24,0805,1,0805W8F6802T5E,
R25,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,390K,
"R38, R39, R40, R41, R42, R43, R44, R45",0805,8,0805W8F2003T5E,
R5,0805,1,0805W8F3002T5E,
R6,0805,1,0805W8F2002T5E,
"R7, R8, R99",0805,3,0805W8F1000T5E,
"S1, S2",MS2301L6,2,MS2301L6,
SW1,MFP 2424,1,MFP_2424,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,TL072CDT,
U7,SOIC-14_3.9x8.7mm_P1.27mm,1,MCP6234T-E/SL,
VR1,RK09D117000B,1,Tune 10KB,
VR2,PTA20432010CIB104,1,PWM Duty10KB,
"VR20, VR21",3362P_1,2,3362P-1-503LF,
VR27,3362P_1,1,3362P-1-501LF,
VR3,PTA20432010CIB104,1,Triangle 100KB,
VR4,PTA20432010CIB104,1,Rate 100KB,
VR5,PTA20432010CIB104,1,Delay 100KB,
VR6,PTA20432010CIB104,1,Saw 100KB,
VR7,PTA20432010CIB104,1,Mod 100KA,
VR8,PTA20432010CIB104,1,SubSquare 10KB,
VR9,PTA20432010CIB104,1,Square 10KB,
